[  212935.305630] EV_KEY       BTN_TOUCH            DOWN                
[  212935.822279] EV_ABS       ABS_MT_POSITION_Y    000001e9            
[  212935.822282] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.822284] EV_SYN       SYN_REPORT           00000000            
[  212935.832176] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.832205] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.832208] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.832211] EV_ABS       ABS_MT_POSITION_X    00000524            
[  212935.832213] EV_ABS       ABS_MT_POSITION_Y    000001e9            
[  212935.832215] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.832218] EV_SYN       SYN_REPORT           00000000            
[  212935.842681] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.842704] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.842708] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.842710] EV_ABS       ABS_MT_POSITION_X    00000529            
[  212935.842713] EV_ABS       ABS_MT_POSITION_Y    000001e9            
[  212935.842715] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.842718] EV_SYN       SYN_REPORT           00000000            
[  212935.857400] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.857427] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.857430] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.857433] EV_ABS       ABS_MT_POSITION_X    0000052c            
[  212935.857435] EV_ABS       ABS_MT_POSITION_Y    000001e9            
[  212935.857438] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.857440] EV_SYN       SYN_REPORT           00000000            
[  212935.862556] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.862571] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.862573] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.862576] EV_ABS       ABS_MT_POSITION_X    0000052f            
[  212935.862578] EV_ABS       ABS_MT_POSITION_Y    000001e9            
[  212935.862581] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.862583] EV_SYN       SYN_REPORT           00000000            
[  212935.872565] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.872594] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.872596] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.872600] EV_ABS       ABS_MT_POSITION_X    00000532            
[  212935.872602] EV_ABS       ABS_MT_POSITION_Y    000001e9            
[  212935.872605] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.872607] EV_SYN       SYN_REPORT           00000000            
[  212935.882499] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.882534] EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[  212935.882537] EV_ABS       ABS_MT_PRESSURE      00000060            
[  212935.882540] EV_ABS       ABS_MT_POSITION_X    00000534            
[  212935.882542] EV_ABS       ABS_MT_POSITION_Y    000001e9            
[  212935.882545] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.882548] EV_SYN       SYN_REPORT           00000000            
[  212935.892471] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.892488] EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[  212935.892490] EV_ABS       ABS_MT_PRESSURE      00000060            
[  212935.892493] EV_ABS       ABS_MT_POSITION_X    00000538            
[  212935.892495] EV_ABS       ABS_MT_POSITION_Y    000001ea            
[  212935.892498] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.892500] EV_SYN       SYN_REPORT           00000000            
[  212935.902486] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.902516] EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[  212935.902518] EV_ABS       ABS_MT_PRESSURE      00000060            
[  212935.902521] EV_ABS       ABS_MT_POSITION_X    0000053c            
[  212935.902523] EV_ABS       ABS_MT_POSITION_Y    000001ea            
[  212935.902526] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.902528] EV_SYN       SYN_REPORT           00000000            
[  212935.912421] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.912439] EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[  212935.912441] EV_ABS       ABS_MT_PRESSURE      00000060            
[  212935.912444] EV_ABS       ABS_MT_POSITION_X    00000543            
[  212935.912446] EV_ABS       ABS_MT_POSITION_Y    000001ea            
[  212935.912449] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.912451] EV_SYN       SYN_REPORT           00000000            
[  212935.922442] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.922473] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.922476] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.922478] EV_ABS       ABS_MT_POSITION_X    0000054b            
[  212935.922481] EV_ABS       ABS_MT_POSITION_Y    000001eb            
[  212935.922483] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.922486] EV_SYN       SYN_REPORT           00000000            
[  212935.932354] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.932376] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.932379] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.932381] EV_ABS       ABS_MT_POSITION_X    00000552            
[  212935.932384] EV_ABS       ABS_MT_POSITION_Y    000001eb            
[  212935.932386] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.932389] EV_SYN       SYN_REPORT           00000000            
[  212935.942336] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.942350] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.942352] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.942355] EV_ABS       ABS_MT_POSITION_X    00000558            
[  212935.942357] EV_ABS       ABS_MT_POSITION_Y    000001eb            
[  212935.942360] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.942362] EV_SYN       SYN_REPORT           00000000            
[  212935.952310] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.952330] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.952332] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.952334] EV_ABS       ABS_MT_POSITION_X    0000055c            
[  212935.952337] EV_ABS       ABS_MT_POSITION_Y    000001ec            
[  212935.952339] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.952342] EV_SYN       SYN_REPORT           00000000            
[  212935.962288] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.962305] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.962307] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.962310] EV_ABS       ABS_MT_POSITION_X    00000560            
[  212935.962312] EV_ABS       ABS_MT_POSITION_Y    000001ec            
[  212935.962315] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.962317] EV_SYN       SYN_REPORT           00000000            
[  212935.972256] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.972271] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.972273] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.972276] EV_ABS       ABS_MT_POSITION_X    00000563            
[  212935.972279] EV_ABS       ABS_MT_POSITION_Y    000001ec            
[  212935.972281] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.972283] EV_SYN       SYN_REPORT           00000000            
[  212935.982246] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.982276] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.982279] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.982282] EV_ABS       ABS_MT_POSITION_X    00000566            
[  212935.982284] EV_ABS       ABS_MT_POSITION_Y    000001ec            
[  212935.982287] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.982290] EV_SYN       SYN_REPORT           00000000            
[  212935.992207] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.992222] EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[  212935.992225] EV_ABS       ABS_MT_PRESSURE      00000060            
[  212935.992227] EV_ABS       ABS_MT_POSITION_X    00000569            
[  212935.992230] EV_ABS       ABS_MT_POSITION_Y    000001ec            
[  212935.992232] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.992234] EV_SYN       SYN_REPORT           00000000            
[  212936.002182] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212936.002209] EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[  212936.002211] EV_ABS       ABS_MT_PRESSURE      00000060            
[  212936.002215] EV_ABS       ABS_MT_POSITION_X    0000056c            
[  212936.002217] EV_ABS       ABS_MT_POSITION_Y    000001ec            
[  212936.002220] EV_SYN       SYN_MT_REPORT        00000000            
[  212936.002222] EV_SYN       SYN_REPORT           00000000            
[  212936.012147] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212936.012166] EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[  212936.012169] EV_ABS       ABS_MT_PRESSURE      00000060            
[  212936.012171] EV_ABS       ABS_MT_POSITION_X    00000570            
[  212936.012174] EV_ABS       ABS_MT_POSITION_Y    000001ec            
[  212936.012176] EV_SYN       SYN_MT_REPORT        00000000            
[  212936.012180] EV_SYN       SYN_REPORT           00000000            
[  212936.022161] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212936.022187] EV_ABS       ABS_MT_TOUCH_MAJOR   00000080            
[  212936.022189] EV_ABS       ABS_MT_PRESSURE      00000080            
[  212936.022192] EV_ABS       ABS_MT_POSITION_X    00000574            
[  212936.022194] EV_ABS       ABS_MT_POSITION_Y    000001ec            
[  212936.022197] EV_SYN       SYN_MT_REPORT        00000000            
[  212936.022200] EV_SYN       SYN_REPORT           00000000            
[  212936.032117] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212936.032145] EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[  212936.032150] EV_ABS       ABS_MT_PRESSURE      00000060            
[  212936.032152] EV_ABS       ABS_MT_POSITION_X    0000057b            
[  212936.032155] EV_ABS       ABS_MT_POSITION_Y    000001eb            
[  212936.032157] EV_SYN       SYN_MT_REPORT        00000000            
[  212936.032160] EV_SYN       SYN_REPORT           00000000            
[  212936.042631] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212936.042653] EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[  212936.042656] EV_ABS       ABS_MT_PRESSURE      00000060            
[  212936.042659] EV_ABS       ABS_MT_POSITION_X    00000582            
